session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_constant_phase_shift,1,21,female,square_a_3_03,reference,C1,correct,18180,
abx_constant_phase_shift,1,21,female,pnoise_3_01,reference,C1,correct,36410,
abx_constant_phase_shift,1,21,female,square_b_3_02,reference,C1,incorrect,9034,
abx_constant_phase_shift,1,21,female,hotelcalifornia_3_01,reference,C1,correct,46753,
abx_constant_phase_shift,1,21,female,square_a_3_02,reference,C1,correct,7853,
abx_constant_phase_shift,1,21,female,castanets_3_03,reference,C1,correct,43915,
abx_constant_phase_shift,1,21,female,pnoise_3_02,reference,C1,incorrect,34295,
abx_constant_phase_shift,1,21,female,square_b_3_01,reference,C1,correct,16188,
abx_constant_phase_shift,1,21,female,square_b_3_00,reference,C1,correct,7663,
abx_constant_phase_shift,1,21,female,hotelcalifornia_3_03,reference,C1,correct,49643,
abx_constant_phase_shift,1,21,female,castanets_3_02,reference,C1,correct,41688,
abx_constant_phase_shift,1,21,female,castanets_3_01,reference,C1,incorrect,12845,
abx_constant_phase_shift,1,21,female,hotelcalifornia_3_00,reference,C1,incorrect,38821,
abx_constant_phase_shift,1,21,female,square_b_3_04,reference,C1,correct,7798,
abx_constant_phase_shift,1,21,female,hotelcalifornia_3_05,reference,C1,correct,28697,
abx_constant_phase_shift,1,21,female,square_a_3_01,reference,C1,incorrect,14829,
abx_constant_phase_shift,1,21,female,square_a_3_04,reference,C1,correct,8125,
abx_constant_phase_shift,1,21,female,hotelcalifornia_3_04,reference,C1,correct,38844,
abx_constant_phase_shift,1,21,female,pnoise_3_05,reference,C1,correct,30638,
abx_constant_phase_shift,1,21,female,pnoise_3_03,reference,C1,correct,19795,
abx_constant_phase_shift,1,21,female,pnoise_3_00,reference,C1,correct,25015,
abx_constant_phase_shift,1,21,female,castanets_3_00,reference,C1,correct,23892,
abx_constant_phase_shift,1,21,female,pnoise_3_04,reference,C1,correct,34329,
abx_constant_phase_shift,1,21,female,square_b_3_03,reference,C1,correct,7045,
abx_constant_phase_shift,1,21,female,castanets_3_05,reference,C1,incorrect,15262,
abx_constant_phase_shift,1,21,female,square_b_3_05,reference,C1,correct,16303,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_03,reference,C1,incorrect,144197,
abx_constant_phase_shift,2,29,male,castanets_0_01,reference,C1,correct,20870,
abx_constant_phase_shift,2,29,male,pnoise_0_04,reference,C1,incorrect,20285,
abx_constant_phase_shift,2,29,male,castanets_0_06,reference,C1,correct,26778,
abx_constant_phase_shift,2,29,male,castanets_0_02,reference,C1,incorrect,148445,
abx_constant_phase_shift,2,29,male,pnoise_0_00,reference,C1,correct,108855,
abx_constant_phase_shift,2,29,male,square_a_0_02,reference,C1,correct,20520,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_06,reference,C1,correct,23533,
abx_constant_phase_shift,2,29,male,square_b_0_04,reference,C1,correct,12253,
abx_constant_phase_shift,2,29,male,pnoise_0_05,reference,C1,incorrect,31978,
abx_constant_phase_shift,2,29,male,pnoise_0_01,reference,C1,incorrect,24045,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_04,reference,C1,incorrect,61276,
abx_constant_phase_shift,2,29,male,square_b_0_05,reference,C1,correct,13945,
abx_constant_phase_shift,2,29,male,square_b_0_01,reference,C1,correct,23169,
abx_constant_phase_shift,2,29,male,castanets_0_05,reference,C1,correct,109673,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_05,reference,C1,correct,12408,
abx_constant_phase_shift,2,29,male,square_a_0_05,reference,C1,correct,11735,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_01,reference,C1,incorrect,64842,
abx_constant_phase_shift,2,29,male,square_a_0_00,reference,C1,correct,10722,
abx_constant_phase_shift,2,29,male,pnoise_0_03,reference,C1,correct,20468,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_02,reference,C1,incorrect,11304,
abx_constant_phase_shift,2,29,male,square_b_0_02,reference,C1,correct,10205,
abx_constant_phase_shift,2,29,male,pnoise_0_02,reference,C1,correct,35025,
abx_constant_phase_shift,2,29,male,castanets_0_00,reference,C1,incorrect,62883,
abx_constant_phase_shift,2,29,male,hotelcalifornia_0_00,reference,C1,correct,24568,
abx_constant_phase_shift,2,29,male,castanets_0_03,reference,C1,incorrect,60769,
abx_constant_phase_shift,2,29,male,square_b_0_03,reference,C1,correct,97873,
abx_constant_phase_shift,2,29,male,pnoise_0_06,reference,C1,correct,93567,
abx_constant_phase_shift,2,29,male,square_b_0_06,reference,C1,correct,13983,
abx_constant_phase_shift,2,29,male,square_b_0_00,reference,C1,correct,17034,
abx_constant_phase_shift,2,29,male,square_a_0_06,reference,C1,correct,26831,
abx_constant_phase_shift,2,29,male,square_a_0_04,reference,C1,correct,10058,
abx_constant_phase_shift,2,29,male,castanets_0_04,reference,C1,correct,8446,
abx_constant_phase_shift,2,29,male,square_a_0_03,reference,C1,correct,8079,
abx_constant_phase_shift,2,29,male,square_a_0_01,reference,C1,correct,9813,
abx_constant_phase_shift,2,29,male,castanets_1_02,reference,C1,incorrect,35446,
abx_constant_phase_shift,2,29,male,square_b_1_05,reference,C1,correct,16024,
abx_constant_phase_shift,2,29,male,castanets_1_05,reference,C1,correct,29253,
abx_constant_phase_shift,2,29,male,pnoise_1_01,reference,C1,incorrect,80029,
abx_constant_phase_shift,2,29,male,square_b_1_00,reference,C1,correct,13568,
abx_constant_phase_shift,2,29,male,hotelcalifornia_1_02,reference,C1,incorrect,97161,
abx_constant_phase_shift,2,29,male,pnoise_1_03,reference,C1,incorrect,71529,
abx_constant_phase_shift,2,29,male,square_a_1_01,reference,C1,correct,20869,
abx_constant_phase_shift,2,29,male,castanets_1_01,reference,C1,incorrect,9863,
abx_constant_phase_shift,2,29,male,pnoise_1_04,reference,C1,incorrect,19612,
abx_constant_phase_shift,2,29,male,square_a_1_03,reference,C1,correct,16357,
abx_constant_phase_shift,2,29,male,hotelcalifornia_1_05,reference,C1,incorrect,32589,
abx_constant_phase_shift,2,29,male,castanets_1_04,reference,C1,incorrect,19121,
abx_constant_phase_shift,2,29,male,square_b_1_02,reference,C1,correct,35874,
abx_constant_phase_shift,2,29,male,hotelcalifornia_1_04,reference,C1,correct,90950,
abx_constant_phase_shift,2,29,male,square_a_1_02,reference,C1,correct,13512,
abx_constant_phase_shift,2,29,male,castanets_1_00,reference,C1,correct,49628,
abx_constant_phase_shift,2,29,male,pnoise_1_05,reference,C1,correct,37792,
abx_constant_phase_shift,2,29,male,square_b_1_03,reference,C1,correct,18518,
abx_constant_phase_shift,2,29,male,pnoise_1_00,reference,C1,incorrect,11154,
abx_constant_phase_shift,2,29,male,pnoise_1_02,reference,C1,incorrect,88550,
abx_constant_phase_shift,2,29,male,hotelcalifornia_1_00,reference,C1,correct,73501,
abx_constant_phase_shift,2,29,male,hotelcalifornia_1_03,reference,C1,incorrect,25477,
